ID,Monthly_Revenue,Net_Profit_Margin (%),Burn_Rate_Ratio,Transaction_Count,Avg_Historical_Rating,Review_Text,Review_Volatility,Business_Tenure_Months,Repeat_Order_Rate (%),Digital_Adoption_Score,Peak_Hour_Latency,Location_Competitiveness,Sentiment_Score,Class
29839,16552562,12.06,0.867,131,4.32,"Transaksi digital lancar, proses checkout tidak ribet. Magnam molestias earum iure.",0.254,128,16.41,2.51,Low,11,-0.25,Growth
29840,5613159,-10.17,1.066,104,3.48,Harga naik tapi layanan tidak membaik.,0.54,26,12.43,1.74,High,11,-0.2,Struggling
29841,4700482,-6.31,1.082,156,3.65,Kadang stok kosong saat jam ramai.,0.393,124,18.89,2.38,Med,11,0.0,Struggling
29842,9762474,28.01,0.767,187,4.74,"Kualitas produk konsisten, harga masih masuk akal.",0.216,134,27.09,5.87,Low,5,0.2,Elite
29843,9906731,-21.02,1.178,149,3.61,"Secara umum oke, hanya respon chat kadang lambat.",0.445,139,23.1,1.0,Med,6,-0.3,Struggling
29844,8690887,16.66,0.801,125,4.03,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.254,132,28.66,1.65,Low,10,0.0,Growth
29845,7455874,-4.62,1.052,134,4.02,Proses pembayaran sering bermasalah. Qui quam incidunt impedit.,0.438,165,4.13,3.16,High,13,-0.35,Struggling
29846,7981154,-4.89,1.042,174,4.1,Kadang stok kosong saat jam ramai.,0.42,125,27.56,3.94,Med,15,0.0,Struggling
29847,4331783,-3.6,0.986,83,3.63,"Pelayanan standar, masih bisa ditingkatkan.",0.368,40,7.95,1.0,Med,6,0.0,Growth
29848,14106432,1.94,0.96,149,4.52,Selalu repeat order karena kualitasnya terjaga. Facere dolor nobis voluptatum maxime accusantium.,0.167,175,9.07,3.69,Low,9,0.25,Growth
29849,16395563,5.78,0.932,171,4.42,"Secara umum oke, hanya respon chat kadang lambat.",0.411,145,19.37,3.91,Med,7,-0.3,Growth
29850,19296736,24.41,0.726,158,4.57,Selalu repeat order karena kualitasnya terjaga.,0.2,172,18.81,3.79,Low,6,0.25,Growth
29851,6283703,-1.15,1.043,141,3.45,"Secara umum oke, hanya respon chat kadang lambat.",0.372,133,8.79,1.8,Med,11,-0.3,Growth
29852,6206768,-0.51,0.961,170,4.37,Selalu repeat order karena kualitasnya terjaga.,0.159,161,26.91,4.05,Low,10,0.25,Growth
29853,27972140,-1.53,0.99,212,3.66,"Secara umum oke, hanya respon chat kadang lambat.",0.23,171,11.96,2.26,Med,8,-0.3,Growth
29854,5296882,22.1,0.791,120,4.39,"Kualitas produk konsisten, harga masih masuk akal.",0.241,59,31.78,4.96,Low,6,0.2,Growth
29855,11095855,-16.63,1.195,105,3.59,"Harga dan kualitas seimbang, pengalaman biasa saja. Velit laborum vel illo qui.",0.479,44,7.54,3.34,Med,8,0.0,Critical
29856,3831849,-12.79,1.134,58,3.21,"Kualitas tidak konsisten, kadang bagus kadang kurang.",0.723,55,8.25,1.0,High,12,-0.25,Struggling
29857,3680795,-7.27,1.091,116,3.54,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.603,121,14.06,1.53,Med,7,0.0,Struggling
29858,4935469,8.8,0.876,119,4.5,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.469,123,32.0,4.99,Med,10,0.0,Growth
29859,7809699,25.8,0.685,67,4.51,Aplikasi pemesanan mudah dipakai dan responsif. Ut esse in maxime nisi.,0.347,58,24.71,5.12,Low,9,0.55,Elite
29860,11345467,3.93,0.935,143,4.4,"Secara umum oke, hanya respon chat kadang lambat. Corrupti dolor maiores id doloremque.",0.272,89,19.68,3.73,Med,7,-0.3,Growth
29861,10369523,-10.08,1.103,116,3.96,"Produk cukup baik, kadang waktu tunggu agak lama.",0.431,78,20.56,1.71,Med,8,0.0,Struggling
29862,4963905,3.57,0.964,84,3.82,Respons admin lambat dan informasi kurang jelas.,0.611,87,27.77,2.55,High,9,-0.55,Struggling
29863,12436990,-13.33,1.172,123,3.64,Proses pembayaran sering bermasalah.,0.614,87,15.56,2.52,High,7,-0.35,Struggling
29864,11796986,2.74,0.979,153,3.73,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.335,162,17.92,2.9,Med,10,0.0,Growth
29865,4807179,31.14,0.754,105,4.79,"Transaksi digital lancar, proses checkout tidak ribet.",0.162,83,23.6,4.03,Low,5,-0.25,Growth
29866,14177234,1.74,0.958,197,4.43,"Pelayanan cepat dan ramah, pesanan selalu tepat.",0.241,167,27.11,3.23,Low,8,0.8,Growth
29867,3895576,-23.38,1.153,36,3.21,"Sudah beberapa kali order, pengalaman makin menurun.",0.471,10,11.07,2.64,Med,13,-0.3,Struggling
29868,3306080,-12.39,1.063,32,3.65,"Pelayanan standar, masih bisa ditingkatkan.",0.457,13,12.85,2.77,Med,8,0.0,Struggling
29869,7185238,-22.17,1.166,137,4.09,"Pelayanan standar, masih bisa ditingkatkan.",0.693,140,12.84,3.15,Med,8,0.0,Struggling
29870,5047148,-7.13,1.058,109,3.77,Harga naik tapi layanan tidak membaik.,0.575,117,9.06,2.28,High,13,-0.2,Struggling
29871,4453799,11.37,0.841,100,3.84,"Harga dan kualitas seimbang, pengalaman biasa saja. Veniam adipisci atque pariatur molestiae cupiditate officiis necessitatibus.",0.217,83,14.2,1.0,Low,7,0.0,Growth
29872,6584382,14.69,0.874,137,4.23,Aplikasi pemesanan mudah dipakai dan responsif.,0.351,89,16.39,4.28,Low,12,0.55,Growth
29873,7801779,28.41,0.695,97,5.0,Aplikasi pemesanan mudah dipakai dan responsif. Quas ullam alias adipisci explicabo.,0.06,44,20.69,5.66,Low,6,0.55,Growth
29874,6047304,-3.09,1.035,108,4.38,Aplikasi pemesanan mudah dipakai dan responsif.,0.229,39,14.81,4.47,Low,7,0.55,Growth
29875,7622126,17.45,0.821,147,4.7,"Pengiriman cepat, admin komunikatif.",0.321,94,35.64,6.57,Low,9,0.55,Elite
29876,8675776,-15.03,1.174,133,3.3,"Sudah beberapa kali order, pengalaman makin menurun. Occaecati exercitationem suscipit cum dicta inventore.",0.717,87,21.58,1.78,High,9,-0.3,Struggling
29877,6334523,22.54,0.789,88,3.95,"Harga dan kualitas seimbang, pengalaman biasa saja. Illum aliquid molestias inventore.",0.352,61,13.22,3.52,Low,8,0.0,Growth
29878,10344322,-8.53,1.101,110,3.92,"Sudah beberapa kali order, pengalaman makin menurun. Autem sequi velit quisquam unde quidem voluptatibus inventore.",0.669,154,7.97,1.89,High,16,-0.3,Struggling
29879,9117361,3.22,0.967,194,4.22,"Secara umum oke, hanya respon chat kadang lambat. Voluptate porro nihil veniam adipisci.",0.345,158,19.46,3.13,Med,7,-0.3,Growth
29880,3394375,2.27,0.976,91,3.63,"Harga dan kualitas seimbang, pengalaman biasa saja. Quia asperiores reprehenderit aliquid officia tenetur.",0.26,39,12.19,1.63,Low,7,0.0,Growth
29881,4237137,4.61,0.951,119,4.04,"Produk cukup baik, kadang waktu tunggu agak lama. Explicabo doloremque commodi quos error.",0.374,23,2.0,1.75,Med,9,0.0,Growth
29882,10123945,16.41,0.786,180,4.95,"Transaksi digital lancar, proses checkout tidak ribet. Rerum aperiam dolore cumque minima explicabo similique.",0.166,163,27.06,4.65,Low,6,-0.25,Elite
29883,2803264,14.94,0.81,123,4.28,"Pelayanan cepat dan ramah, pesanan selalu tepat.",0.282,132,19.98,5.12,Low,7,0.8,Growth
29884,11182960,-5.33,1.028,145,3.86,"Secara umum oke, hanya respon chat kadang lambat.",0.273,85,30.95,2.63,Low,5,-0.3,Struggling
29885,10765604,-6.44,1.08,158,3.5,"Secara umum oke, hanya respon chat kadang lambat. Reprehenderit dolorem illum sed optio.",0.536,158,22.43,4.01,Med,11,-0.3,Struggling
29886,13172424,-8.76,1.097,114,4.46,"Produk cukup baik, kadang waktu tunggu agak lama. Dolore corporis tempore ratione.",0.428,145,23.27,5.03,Med,8,0.0,Struggling
29887,11198987,-18.02,1.183,84,3.42,"Kualitas tidak konsisten, kadang bagus kadang kurang.",0.516,3,2.0,2.01,High,14,-0.25,Critical
29888,8516895,-15.99,1.13,99,3.45,Respons admin lambat dan informasi kurang jelas.,0.665,109,18.6,1.45,High,14,-0.55,Struggling
29889,4304489,11.57,0.909,41,4.04,"Pelayanan standar, masih bisa ditingkatkan. Occaecati omnis voluptatum autem sequi cupiditate modi.",0.268,30,5.1,1.0,Low,5,0.0,Growth
29890,5275772,16.19,0.791,110,4.44,Selalu repeat order karena kualitasnya terjaga.,0.193,52,30.78,3.95,Low,5,0.25,Elite
29891,5183728,23.11,0.771,94,4.57,"Transaksi digital lancar, proses checkout tidak ribet. Dolorum repellat eum accusantium.",0.261,37,26.69,3.94,Low,9,-0.25,Elite
29892,9399935,-2.45,1.018,103,3.82,Harga naik tapi layanan tidak membaik.,0.647,158,29.53,3.56,High,10,-0.2,Struggling
29893,7686818,27.87,0.686,148,4.43,"Transaksi digital lancar, proses checkout tidak ribet.",0.179,139,14.26,3.77,Low,4,-0.25,Growth
29894,6577209,10.1,0.911,127,4.24,"Kualitas produk konsisten, harga masih masuk akal.",0.359,154,22.89,6.41,Low,12,0.2,Growth
29895,9282668,-7.34,1.062,136,4.09,"Pelayanan standar, masih bisa ditingkatkan.",0.493,134,21.15,1.0,Med,10,0.0,Struggling
29896,2364965,8.58,0.894,72,4.04,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.465,43,15.59,1.0,Med,9,0.0,Growth
29897,5688226,-15.06,1.149,86,3.87,Proses pembayaran sering bermasalah.,0.568,69,18.22,3.29,High,14,-0.35,Struggling
29898,5591613,-8.39,1.065,112,4.43,Selalu repeat order karena kualitasnya terjaga.,0.3,50,31.21,5.89,Low,8,0.25,Struggling
29899,3110537,1.12,0.992,71,3.92,Kadang stok kosong saat jam ramai.,0.414,88,8.05,2.74,Med,16,0.0,Growth
29900,5745449,-26.07,1.246,110,3.29,"Kualitas tidak konsisten, kadang bagus kadang kurang.",0.63,60,16.58,3.01,High,9,-0.25,Critical
29901,1500000,11.37,0.863,64,3.95,"Pelayanan standar, masih bisa ditingkatkan.",0.248,41,29.18,1.93,Low,4,0.0,Growth
29902,6193373,1.79,0.919,118,4.44,Kadang stok kosong saat jam ramai.,0.387,27,17.27,4.43,Med,10,0.0,Growth
29903,3235145,-1.7,1.056,113,3.76,Kadang stok kosong saat jam ramai. Assumenda accusantium tempore maxime eaque voluptatum numquam.,0.467,62,42.07,2.72,Med,6,0.0,Growth
29904,9500765,-35.0,1.352,124,2.07,"Sudah beberapa kali order, pengalaman makin menurun.",0.576,119,22.35,1.0,High,8,-0.3,Critical
29905,7440755,9.95,0.875,154,4.9,"Produk cukup baik, kadang waktu tunggu agak lama.",0.546,88,26.34,6.67,Med,8,0.0,Growth
29906,4807398,-2.44,1.025,115,3.71,Kadang stok kosong saat jam ramai.,0.449,116,38.43,2.33,Med,8,0.0,Growth
29907,8231487,-10.23,1.107,170,4.1,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.435,177,6.26,3.44,Med,10,0.0,Struggling
29908,5274211,-9.24,1.097,108,3.36,Respons admin lambat dan informasi kurang jelas.,0.723,86,25.84,3.34,High,14,-0.55,Struggling
29909,7586924,3.74,0.925,124,4.41,"Pengiriman cepat, admin komunikatif. Pariatur provident fugiat doloribus temporibus alias.",0.068,157,24.54,5.66,Low,16,0.55,Growth
29910,5777084,4.78,0.912,164,4.41,"Transaksi digital lancar, proses checkout tidak ribet.",0.24,126,33.44,4.27,Low,6,-0.25,Growth
29911,10910399,10.35,0.884,116,4.46,Aplikasi pemesanan mudah dipakai dan responsif.,0.215,113,34.12,3.18,Low,7,0.55,Growth
29912,2444615,4.24,0.919,112,4.05,"Produk cukup baik, kadang waktu tunggu agak lama. Itaque qui provident ipsum veniam.",0.462,44,19.36,4.32,Med,12,0.0,Growth
29913,8758885,2.63,0.96,74,4.33,"Pelayanan standar, masih bisa ditingkatkan.",0.326,54,7.64,2.35,Med,8,0.0,Growth
29914,2854298,-4.87,1.011,52,3.9,"Pelayanan standar, masih bisa ditingkatkan. Excepturi eaque ea officia reiciendis repudiandae eveniet.",0.336,50,11.39,2.45,Med,12,0.0,Struggling
29915,1853709,17.72,0.776,82,4.42,"Kualitas produk konsisten, harga masih masuk akal.",0.383,34,16.43,2.01,Low,7,0.2,Growth
29916,9626419,21.22,0.812,163,4.89,Aplikasi pemesanan mudah dipakai dan responsif.,0.412,154,30.44,2.4,Low,7,0.55,Elite
29917,3465018,-17.63,1.226,88,3.55,"Pelayanan standar, masih bisa ditingkatkan.",0.606,133,33.95,1.0,Med,10,0.0,Critical
29918,21507212,5.68,0.907,138,3.62,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.403,120,17.99,2.75,Med,12,0.0,Growth
29919,4788343,-10.97,1.112,145,3.47,Harga naik tapi layanan tidak membaik. Nostrum ea saepe vitae.,0.628,157,20.31,1.0,High,7,-0.2,Struggling
29920,8817748,-13.29,1.118,143,3.38,Pesanan sering terlambat saat jam sibuk.,0.594,170,28.52,2.02,High,13,-0.65,Struggling
29921,3069502,-4.94,1.035,41,4.14,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.372,25,2.87,2.01,Low,15,0.0,Struggling
29922,5253534,31.07,0.751,171,4.91,Aplikasi pemesanan mudah dipakai dan responsif. Dignissimos dolor ab dolore ab itaque fugit.,0.213,137,32.15,4.9,Low,3,0.55,Elite
29923,5048882,-4.7,1.03,95,3.35,"Kualitas tidak konsisten, kadang bagus kadang kurang.",0.595,129,17.93,1.0,Med,10,-0.25,Struggling
29924,3649559,18.66,0.796,61,4.19,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.34,39,32.03,4.53,Med,8,0.0,Growth
29925,6461976,-7.2,1.066,59,3.8,"Pelayanan standar, masih bisa ditingkatkan. Repellat corrupti eligendi officiis facilis quia.",0.409,9,19.36,2.25,Med,6,0.0,Struggling
29926,6080079,0.29,0.914,65,3.68,"Secara umum oke, hanya respon chat kadang lambat.",0.418,79,14.41,1.0,Med,8,-0.3,Growth
29927,6490465,-16.46,1.16,118,3.82,Respons admin lambat dan informasi kurang jelas.,0.589,84,8.4,4.61,High,9,-0.55,Struggling
29928,5510589,28.45,0.707,122,5.0,"Transaksi digital lancar, proses checkout tidak ribet.",0.372,97,18.5,4.47,Low,2,-0.25,Growth
29929,6333389,26.66,0.728,124,4.22,"Pelayanan cepat dan ramah, pesanan selalu tepat.",0.141,24,24.68,4.64,Low,5,0.8,Growth
29930,8683293,27.21,0.754,124,4.65,Aplikasi pemesanan mudah dipakai dan responsif.,0.388,80,26.06,4.46,Low,9,0.55,Elite
29931,7963711,17.88,0.801,87,4.34,"Kualitas produk konsisten, harga masih masuk akal. Voluptatem tenetur odio.",0.403,84,12.95,1.56,Low,9,0.2,Growth
29932,11585967,11.39,0.936,166,4.44,"Pengiriman cepat, admin komunikatif.",0.144,147,31.55,5.5,Low,6,0.55,Growth
29933,4345880,15.42,0.85,88,4.09,"Secara umum oke, hanya respon chat kadang lambat.",0.422,21,16.59,3.9,Med,9,-0.3,Growth
29934,5073096,29.58,0.724,136,4.28,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.582,97,11.79,4.04,Med,11,0.0,Growth
29935,10683645,17.7,0.806,99,4.53,"Kualitas produk konsisten, harga masih masuk akal.",0.294,41,12.2,5.42,Low,12,0.2,Growth
29936,9280758,24.78,0.785,170,4.56,"Secara umum oke, hanya respon chat kadang lambat. Rem nihil accusamus a at nesciunt consequatur laborum.",0.421,119,40.99,6.72,Med,10,-0.3,Elite
29937,7598932,22.72,0.782,49,4.29,Aplikasi pemesanan mudah dipakai dan responsif. Aut libero omnis atque harum impedit in.,0.241,38,16.63,3.46,Low,6,0.55,Growth
29938,2468129,13.64,0.831,74,4.78,"Secara umum oke, hanya respon chat kadang lambat.",0.486,17,25.91,4.92,Med,7,-0.3,Elite
29939,12928843,37.93,0.585,203,4.33,Kadang stok kosong saat jam ramai. Iste laudantium occaecati quisquam doloremque.,0.452,159,35.46,2.99,Med,3,0.0,Growth
29940,6344027,-8.38,1.053,99,3.59,"Kualitas tidak konsisten, kadang bagus kadang kurang. Deserunt unde provident aspernatur doloremque vero similique.",0.572,62,18.86,2.4,High,8,-0.25,Struggling
29941,19847074,11.81,0.856,155,4.36,"Secara umum oke, hanya respon chat kadang lambat.",0.466,170,12.9,1.0,Med,8,-0.3,Growth
29942,5984984,5.92,0.987,147,4.38,"Secara umum oke, hanya respon chat kadang lambat.",0.381,146,15.21,4.36,Med,6,-0.3,Growth
29943,7751843,15.71,0.886,171,4.66,Selalu repeat order karena kualitasnya terjaga. Quia incidunt cumque corrupti modi quae.,0.312,163,28.83,2.36,Low,7,0.25,Growth
29944,5263275,3.87,0.917,119,4.18,"Secara umum oke, hanya respon chat kadang lambat.",0.252,91,20.82,2.54,Low,12,-0.3,Growth
29945,1778879,-23.7,1.225,34,3.55,Harga naik tapi layanan tidak membaik.,0.612,18,22.02,1.89,High,13,-0.2,Critical
29946,10388026,-1.48,1.03,190,3.95,Kadang stok kosong saat jam ramai.,0.411,160,30.86,4.62,Low,7,0.0,Growth
29947,12675709,-4.86,1.022,125,3.92,Harga naik tapi layanan tidak membaik.,0.587,100,23.34,3.05,High,11,-0.2,Struggling
29948,10851143,2.34,0.953,159,4.44,Pesanan sering terlambat saat jam sibuk. Quis illo alias nostrum esse tenetur quod.,0.579,106,12.85,4.46,High,10,-0.65,Growth
29949,2137089,-14.94,1.157,40,3.96,Kadang stok kosong saat jam ramai.,0.462,46,13.1,1.35,Med,12,0.0,Struggling
29950,8119752,1.89,0.942,182,4.42,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.218,168,25.4,5.03,Med,12,0.0,Growth
29951,3263316,-1.06,0.982,80,3.94,"Pelayanan standar, masih bisa ditingkatkan.",0.39,53,12.3,4.56,Med,9,0.0,Growth
29952,2014648,-12.52,1.114,98,4.44,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.443,20,16.66,3.08,Med,8,0.0,Struggling
29953,1500000,-14.62,1.066,24,3.76,"Pelayanan standar, masih bisa ditingkatkan. Nemo totam at.",0.469,7,16.01,1.0,Med,9,0.0,Struggling
29954,12776256,10.34,0.905,161,4.32,"Kualitas produk konsisten, harga masih masuk akal.",0.141,170,16.0,3.86,Low,8,0.2,Growth
29955,4872362,29.83,0.732,55,4.43,Kadang stok kosong saat jam ramai. Fugit non fuga atque.,0.484,8,17.29,5.56,Low,8,0.0,Growth
29956,7400684,-35.0,1.268,110,1.53,Respons admin lambat dan informasi kurang jelas.,0.718,78,26.89,1.55,High,11,-0.55,Critical
29957,11552664,-10.44,1.108,79,3.18,Pesanan sering terlambat saat jam sibuk.,0.557,117,2.15,1.12,Med,19,-0.65,Struggling
29958,1970301,-14.0,1.112,30,3.65,"Kualitas tidak konsisten, kadang bagus kadang kurang.",0.659,14,6.54,1.0,High,10,-0.25,Struggling
29959,4133190,10.57,0.89,89,4.02,"Produk cukup baik, kadang waktu tunggu agak lama.",0.347,14,12.88,3.69,Low,10,0.0,Growth
29960,8806493,-5.12,1.015,131,4.19,"Pelayanan standar, masih bisa ditingkatkan.",0.421,75,13.43,2.13,Med,6,0.0,Struggling
29961,6495507,-27.34,1.284,122,3.17,Respons admin lambat dan informasi kurang jelas.,0.468,108,8.41,1.0,High,9,-0.55,Critical
29962,15719503,-21.42,1.204,171,3.68,Pesanan sering terlambat saat jam sibuk. Error molestias sit numquam.,0.769,152,19.86,3.46,High,9,-0.65,Critical
29963,7563531,-20.15,1.203,115,3.91,"Harga dan kualitas seimbang, pengalaman biasa saja. Animi est magni non illo.",0.52,51,22.26,4.81,Med,14,0.0,Critical
29964,1760863,-5.38,1.064,39,4.23,"Transaksi digital lancar, proses checkout tidak ribet.",0.234,6,12.72,3.91,Low,14,-0.25,Critical
29965,1792263,16.61,0.847,44,4.42,"Pelayanan cepat dan ramah, pesanan selalu tepat.",0.228,5,13.33,4.05,Low,9,0.8,Growth
29966,11189454,9.82,0.947,165,4.24,Kadang stok kosong saat jam ramai.,0.489,146,28.48,3.29,Med,8,0.0,Growth
29967,8876140,-11.92,1.154,90,3.58,"Pelayanan standar, masih bisa ditingkatkan.",0.492,16,3.92,3.56,Med,10,0.0,Struggling
29968,6934777,-16.49,1.153,70,3.34,Proses pembayaran sering bermasalah.,0.512,66,27.52,3.5,High,12,-0.35,Struggling
29969,4435765,8.65,0.881,125,4.32,Selalu repeat order karena kualitasnya terjaga.,0.139,122,28.05,3.39,Low,13,0.25,Growth
29970,16178898,-7.54,1.074,168,3.74,"Produk cukup baik, kadang waktu tunggu agak lama. Ab dolorum natus earum earum similique.",0.234,171,10.06,4.51,Low,9,0.0,Struggling
29971,10179681,-5.28,1.05,122,3.69,Respons admin lambat dan informasi kurang jelas.,0.746,70,35.28,4.51,High,8,-0.55,Struggling
29972,8721912,3.55,0.979,123,4.87,"Secara umum oke, hanya respon chat kadang lambat. Quia temporibus repudiandae vero facere incidunt.",0.597,61,20.26,4.22,Med,8,-0.3,Growth
29973,9538848,-11.85,1.065,145,3.61,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.399,132,27.01,3.35,Med,6,0.0,Struggling
29974,6099977,17.41,0.887,118,3.99,"Produk cukup baik, kadang waktu tunggu agak lama.",0.3,121,12.31,3.85,Med,7,0.0,Growth
29975,2365317,23.13,0.789,66,4.05,"Harga dan kualitas seimbang, pengalaman biasa saja. Cum eos aliquid aspernatur.",0.258,12,22.16,2.87,Low,10,0.0,Growth
29976,5707122,-13.76,1.142,103,3.67,"Harga dan kualitas seimbang, pengalaman biasa saja.",0.55,77,11.87,1.0,Med,8,0.0,Struggling
29977,8655246,-22.74,1.188,134,3.78,Kadang stok kosong saat jam ramai.,0.509,92,10.63,3.22,Med,13,0.0,Critical
29978,18428719,-17.91,1.099,115,3.3,"Sudah beberapa kali order, pengalaman makin menurun. Consequatur nostrum sunt ad at ad.",0.642,103,7.49,1.0,Med,7,-0.3,Struggling
29979,9609725,13.92,0.872,174,4.06,"Produk cukup baik, kadang waktu tunggu agak lama.",0.06,156,31.21,5.38,Low,9,0.0,Growth
29980,10812558,7.95,0.946,168,4.3,Kadang stok kosong saat jam ramai.,0.3,134,20.82,4.34,Med,6,0.0,Growth
29981,3892954,31.71,0.662,120,5.0,Aplikasi pemesanan mudah dipakai dan responsif. Cumque quaerat earum ad corporis autem.,0.195,30,17.19,6.18,Low,5,0.55,Growth
29982,5106913,-12.62,1.054,97,3.56,"Secara umum oke, hanya respon chat kadang lambat.",0.523,132,18.01,3.69,Med,14,-0.3,Struggling
29983,8625327,2.35,0.948,119,4.02,"Secara umum oke, hanya respon chat kadang lambat.",0.558,68,6.4,4.48,Med,11,-0.3,Growth
29984,7644607,-1.05,0.985,154,4.31,Selalu repeat order karena kualitasnya terjaga.,0.334,146,31.33,4.96,Low,11,0.25,Growth
29985,8314699,-1.55,0.979,151,3.97,"Produk cukup baik, kadang waktu tunggu agak lama.",0.38,126,13.89,3.65,Low,8,0.0,Growth
29986,3490972,-14.85,1.068,48,3.58,Proses pembayaran sering bermasalah.,0.664,59,2.91,1.0,High,9,-0.35,Struggling
29987,16518066,7.25,0.887,155,3.23,"Kualitas tidak konsisten, kadang bagus kadang kurang. Quod aliquam error ducimus.",0.26,153,17.43,1.0,Low,6,-0.25,Growth
29988,15670675,6.77,0.922,184,4.47,"Produk cukup baik, kadang waktu tunggu agak lama.",0.433,153,26.6,3.71,Med,10,0.0,Growth
29989,1500000,9.83,0.918,49,4.4,"Kualitas produk konsisten, harga masih masuk akal.",0.158,23,8.84,5.25,Low,13,0.2,Growth
29990,3320486,-10.31,1.077,98,4.04,"Secara umum oke, hanya respon chat kadang lambat. Ad unde error sint.",0.194,105,12.59,3.56,Low,7,-0.3,Struggling
29991,8270838,0.52,0.968,195,4.28,"Produk cukup baik, kadang waktu tunggu agak lama.",0.37,155,22.96,3.04,Med,6,0.0,Growth
29992,13416477,-4.63,1.07,95,3.89,"Secara umum oke, hanya respon chat kadang lambat. Perferendis molestias facere iste.",0.426,60,21.85,4.28,Med,12,-0.3,Struggling
29993,5606327,3.41,0.992,85,4.08,"Produk cukup baik, kadang waktu tunggu agak lama.",0.368,39,23.73,3.63,Med,7,0.0,Growth
29994,9457089,1.87,1.0,178,4.45,Kadang stok kosong saat jam ramai.,0.521,179,19.27,2.39,Med,8,0.0,Growth
29995,12320193,16.84,0.79,115,4.4,"Transaksi digital lancar, proses checkout tidak ribet. Labore enim pariatur dolores ipsum dignissimos quaerat.",0.214,145,9.37,3.7,Low,10,-0.25,Growth
29996,10217757,35.15,0.667,183,5.0,"Pelayanan cepat dan ramah, pesanan selalu tepat.",0.367,158,32.61,7.53,Low,9,0.8,Elite
29997,16403998,10.98,0.9,137,4.33,"Secara umum oke, hanya respon chat kadang lambat.",0.623,134,31.65,2.79,Med,8,-0.3,Growth
29998,5362426,19.74,0.833,122,3.96,"Secara umum oke, hanya respon chat kadang lambat. Dolorem laudantium odit hic architecto ipsam ducimus.",0.252,49,29.03,4.88,Low,6,-0.3,Growth
29999,6950107,-18.22,1.193,89,3.39,Pesanan sering terlambat saat jam sibuk.,0.702,105,10.79,3.43,High,12,-0.65,Critical
30000,9098382,18.92,0.86,86,4.47,"Secara umum oke, hanya respon chat kadang lambat. Maiores sed facere quia sit facilis ut.",0.468,74,24.39,3.87,Med,7,-0.3,Elite
30001,41134322,5.85,0.928,236,4.11,"Secara umum oke, hanya respon chat kadang lambat.",0.06,173,15.01,6.19,Low,7,-0.3,Growth
30002,11848033,-13.03,1.098,122,3.98,Kadang stok kosong saat jam ramai.,0.403,91,24.85,4.33,Med,7,0.0,Struggling
30003,4475607,12.89,0.885,99,4.84,"Pengiriman cepat, admin komunikatif.",0.084,60,10.25,6.78,Low,12,0.55,Growth
30004,9635670,-17.26,1.067,89,4.13,Proses pembayaran sering bermasalah. Modi sit repellat eum qui necessitatibus.,0.672,107,2.0,2.44,High,10,-0.35,Struggling
30005,5412195,3.15,0.917,93,4.24,"Pengiriman cepat, admin komunikatif.",0.312,71,13.17,1.69,Low,14,0.55,Growth
30006,7216521,6.55,0.913,87,4.23,"Pengiriman cepat, admin komunikatif. Et autem eos in.",0.162,48,2.0,1.0,Low,11,0.55,Growth
30007,15249974,4.23,0.95,193,4.44,Kadang stok kosong saat jam ramai.,0.358,155,38.45,4.76,Med,6,0.0,Growth
30008,3957610,4.63,0.979,84,4.52,Kadang stok kosong saat jam ramai.,0.385,27,27.05,5.01,Med,7,0.0,Growth
30009,9194637,-8.88,1.079,164,3.58,Proses pembayaran sering bermasalah. Enim molestias consectetur.,0.629,123,19.93,2.88,High,9,-0.35,Struggling
30010,2087493,3.03,0.97,40,4.21,Kadang stok kosong saat jam ramai. Doloremque voluptates maiores nam illo.,0.357,37,13.2,1.0,Med,6,0.0,Growth
30011,4183136,9.13,0.897,54,4.41,"Harga dan kualitas seimbang, pengalaman biasa saja. Incidunt ea blanditiis.",0.53,17,17.48,2.75,Med,7,0.0,Growth
30012,6257485,21.16,0.824,106,4.7,"Pelayanan cepat dan ramah, pesanan selalu tepat.",0.186,108,38.23,5.05,Low,7,0.8,Elite
30013,7424417,-16.57,1.123,151,3.9,"Sudah beberapa kali order, pengalaman makin menurun. Error culpa quia suscipit amet.",0.746,130,21.98,4.25,High,4,-0.3,Struggling
30014,5745771,18.85,0.829,128,5.0,"Pengiriman cepat, admin komunikatif.",0.191,76,18.81,4.43,Low,8,0.55,Growth
30015,10164976,26.26,0.723,135,4.64,Aplikasi pemesanan mudah dipakai dan responsif.,0.159,90,23.46,5.78,Low,4,0.55,Growth
30016,18010450,15.22,0.865,199,4.78,Aplikasi pemesanan mudah dipakai dan responsif.,0.244,165,28.9,5.59,Low,10,0.55,Elite
